PCF-cd1-1,dpcf-cd1-1,dr-cd1-1,PCF-v30m-2,dpcf-v30m-2,dr-v30m-2
0.0,,1.0,0.0,,1.0
0.0,,6.2631578947368425,0.0,,6.2631578947368425
0.0,,11.526315789473685,0.3712793887764463,0.020546673632816734,11.526315789473685
0.28132510640158587,0.015444807450526,16.789473684210527,0.224462393902021,0.012421792563126945,16.789473684210527
0.2525635849203716,0.013865793878138286,22.05263157894737,0.13714937465579619,0.007589873085290753,22.05263157894737
0.213403688820504,0.011715907354389158,27.315789473684212,0.11779919592168589,0.006519030428237612,27.315789473684212
0.08359504083179882,0.00458938530577843,32.578947368421055,0.04649664405221045,0.0025731333309677766,32.578947368421055
0.09445382969383358,0.005185535095838895,37.8421052631579,0.030420859642370797,0.0016834962930782848,37.8421052631579
0.03017618384328292,0.0016566788332992917,43.10526315789474,0.02337250889887608,0.001293439191192121,43.10526315789474
0.010450707476064004,0.0005737460362288917,48.36842105263158,0.015495096508019406,0.0008575016563900095,48.36842105263158
0.011082896999689396,0.0006084533739049538,53.631578947368425,0.011021316224052271,0.0006099217847937699,53.631578947368425
0.005885786793056736,0.0003231309315985662,58.89473684210527,0.007772493728860316,0.0004301313156280946,58.89473684210527
0.004919935710267675,0.00027010550421895357,64.15789473684211,0.004096324010943365,0.00022669136798703857,64.15789473684211
0.0036088212070283766,0.00019812504251349642,69.42105263157896,0.0034652626595438577,0.00019176830998422238,69.42105263157896
0.0013935487023739378,7.650611655815766e-05,74.6842105263158,0.0023550313670363137,0.00013032789418503557,74.6842105263158
0.002556609339624271,0.00014035838991329608,79.94736842105263,0.002140313980029842,0.00011844539220006932,79.94736842105263
0.0019144598150877981,0.00010510424609452479,85.21052631578948,0.0010240461801541408,5.6670914908311205e-05,85.21052631578948
0.0,,90.47368421052633,0.0004767291120100756,2.6382281839058438e-05,90.47368421052633
0.0014528010437617684,7.975908254982969e-05,95.73684210526316,0.0006365694526110181,3.522787739584087e-05,95.73684210526316
0.0012169984016688717,6.681346795455318e-05,101.0,0.000536450927332994,2.968729872201341e-05,101.0
